2020-08-16 13:24:05 - PHP Warning:  require_once(C:/xampp/htdocs/mahesh/opencart1/upload/system/library/so/filter_shop_by/Cache_Lite/Lite.php): failed to open stream: No such file or directory in C:\xampp\htdocs\mahesh\opencart1\upload\catalog\controller\extension\module\so_filter_shop_by.php on line 221
2020-08-21 10:30:23 - PHP Warning:  rmdir(C:/xampp/htdocs/mahesh/opencart1/upload/system/storage/cache/so): Directory not empty in C:\xampp\htdocs\mahesh\opencart1\upload\catalog\controller\startup\startup.php on line 206
2020-08-21 10:30:58 - PHP Warning:  rmdir(C:/xampp/htdocs/mahesh/opencart1/upload/system/storage/cache/so): Directory not empty in C:\xampp\htdocs\mahesh\opencart1\upload\catalog\controller\startup\startup.php on line 206
2020-08-21 10:39:35 - PHP Warning:  rmdir(C:/xampp/htdocs/mahesh/opencart1/upload/system/storage/cache/so): Directory not empty in C:\xampp\htdocs\mahesh\opencart1\upload\catalog\controller\startup\startup.php on line 206
2020-08-21 10:40:17 - PHP Warning:  fopen(C:/xampp/htdocs/mahesh/opencart1/upload/system/storage/cache/cache.catalog.language.1598010017): failed to open stream: No such file or directory in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 49
2020-08-21 10:40:17 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 51
2020-08-21 10:40:17 - PHP Warning:  fwrite() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 53
2020-08-21 10:40:17 - PHP Warning:  fflush() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 55
2020-08-21 10:40:17 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 57
2020-08-21 10:40:17 - PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 59
2020-08-21 10:40:17 - PHP Warning:  fopen(C:/xampp/htdocs/mahesh/opencart1/upload/system/storage/cache/cache.currency.1598010017): failed to open stream: No such file or directory in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 49
2020-08-21 10:40:17 - PHP Warning:  flock() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\mahesh\opencart1\upload\system\library\cache\file.php on line 51
